i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa,aoa_true
0,0.5,0.3023,0.634119,-10,1,8,2.12846e-34,8,1.70277e-33,-9.62182,0.869695,0.3023,0.3023
1,0.5,0.349066,0.349066,-9.84,1,10,1.22636e-07,10,1.22636e-06,-9.44,1,0.349066,0.349066
2,0.5,0.349066,0.349066,-9.64,1,10,1.03987e-07,10,1.03987e-06,-9.24,1,0.349066,0.349066
3,0.5,0.349066,0.349066,-9.44,1,10,8.97422e-08,10,8.97422e-07,-9.04,1,0.349066,0.349066
4,0.5,0.349066,0.349066,-9.24,1,10,7.80217e-08,10,7.80217e-07,-8.84,1,0.349066,0.349066
5,0.5,0.349066,0.349066,-9.04,1,10,6.79102e-08,10,6.79102e-07,-8.64,1,0.349066,0.349066
6,0.5,0.349066,0.349066,-8.84,1,10,5.88978e-08,10,5.88978e-07,-8.44,1,0.349066,0.349066
7,0.5,0.349066,0.349066,-8.64,1,10,5.06714e-08,10,5.06714e-07,-8.24,1,0.349066,0.349066
8,0.5,0.349066,0.349066,-8.44,1,10,4.30244e-08,10,4.30244e-07,-8.04,1,0.349066,0.349066
9,0.5,0.349066,0.349066,-8.24,1,10,3.58118e-08,10,3.58118e-07,-7.84,1,0.349066,0.349066
10,0.5,0.349066,0.349066,-8.04,1,10,2.89266e-08,10,2.89266e-07,-7.64,1,0.349066,0.349066
11,0.5,0.349066,0.349066,-7.84,1,10,2.2286e-08,10,2.2286e-07,-7.44,1,0.349066,0.349066
12,0.5,0.349066,0.349066,-7.64,1,10,1.58231e-08,10,1.58231e-07,-7.24,1,0.349066,0.349066
13,0.5,0.349066,0.349066,-7.44,1,10,9.48141e-09,10,9.48141e-08,-7.04,1,0.349066,0.349066
14,0.5,0.349066,0.349066,-7.24,1,10,3.21105e-09,10,3.21105e-08,-6.84,1,0.349066,0.349066
15,0.5,0.349066,0.349066,-7.04,1,10,-3.0341e-09,10,-3.0341e-08,-6.64,1,0.349066,0.349066
16,0.5,0.349066,0.349066,-6.84,1,10,-9.29872e-09,10,-9.29872e-08,-6.44,1,0.349066,0.349066
17,0.5,0.349066,0.349066,-6.64,1,10,-1.56282e-08,10,-1.56282e-07,-6.24,1,0.349066,0.349066
18,0.5,0.349066,0.349066,-6.44,1,10,-2.20706e-08,10,-2.20706e-07,-6.04,1,0.349066,0.349066
19,0.5,0.349066,0.349066,-6.24,1,10,-2.86792e-08,10,-2.86792e-07,-5.84,1,0.349066,0.349066
20,0.5,0.349066,0.349066,-6.04,1,10,-3.55151e-08,10,-3.55151e-07,-5.64,1,0.349066,0.349066
21,0.5,0.349066,0.349066,-5.84,1,10,-4.26503e-08,10,-4.26503e-07,-5.44,1,0.349066,0.349066
22,0.5,0.349066,0.349066,-5.64,1,10,-5.0171e-08,10,-5.0171e-07,-5.24,1,0.349066,0.349066
23,0.5,0.349066,0.349066,-5.44,1,10,-5.81783e-08,10,-5.81783e-07,-5.04,1,0.349066,0.349066
24,0.5,0.349066,0.349066,-5.24,1,10,-6.67758e-08,10,-6.67758e-07,-4.84,1,0.349066,0.349066
25,0.5,0.349066,0.349066,-5.04,1,10,-7.59977e-08,10,-7.59977e-07,-4.64,1,0.349066,0.349066
26,0.5,0.349066,0.349066,-4.84,1,10,-8.54381e-08,10,-8.54381e-07,-4.44,1,0.349066,0.349066
27,0.5,0.349066,0.349066,-4.64,1,10,-9.22777e-08,10,-9.22777e-07,-4.24,1,0.349066,0.349066
28,0.5,0.349066,0.349066,-4.44,1,10,-8.502e-08,10,-8.502e-07,-4.04,1,0.349066,0.349066
29,0.5,0.349066,0.349066,-4.24,1,10,-6.07664e-08,10,-6.07664e-07,-3.84,1,0.349066,0.349066
30,0.5,0.349066,0.349066,-4.04,1,10,-3.78586e-08,10,-3.78586e-07,-3.64,1,0.349066,0.349066
31,0.5,0.349066,0.349066,-3.84,1,10,-2.22983e-08,10,-2.22983e-07,-3.44,1,0.349066,0.349066
32,0.5,0.349066,0.349066,-3.64,1,10,-1.27777e-08,10,-1.27777e-07,-3.24,1,0.349066,0.349066
33,0.5,0.349066,0.349066,-3.44,1,10,-7.19483e-09,10,-7.19483e-08,-3.04,1,0.349066,0.349066
34,0.5,0.349066,0.349066,-3.24,1,10,-3.9992e-09,10,-3.9992e-08,-2.84,1,0.349066,0.349066
35,0.5,0.349066,0.349066,-3.04,1,10,-2.20032e-09,10,-2.20032e-08,-2.64,1,0.349066,0.349066
36,0.5,0.349066,0.349066,-2.84,1,10,-1.2005e-09,10,-1.2005e-08,-2.44,1,0.349066,0.349066
37,0.5,0.349066,0.349066,-2.64,1,10,-6.50412e-10,10,-6.50412e-09,-2.24,1,0.349066,0.349066
38,0.5,0.349066,0.349066,-2.44,1,10,-3.50288e-10,10,-3.50288e-09,-2.04,1,0.349066,0.349066
39,0.5,0.349066,0.349066,-2.24,1,10,-1.87685e-10,10,-1.87685e-09,-1.84,1,0.349066,0.349066
40,0.5,0.349066,0.349066,-2.04,1,10,-1.00113e-10,10,-1.00113e-09,-1.64,1,0.349066,0.349066
41,0.5,0.349066,0.349066,-1.84,1,10,-5.31917e-11,10,-5.31917e-10,-1.44,1,0.349066,0.349066
42,0.5,0.349066,0.349066,-1.64,1,10,-2.81635e-11,10,-2.81635e-10,-1.24,1,0.349066,0.349066
43,0.5,0.349066,0.349066,-1.44,1,10,-1.48658e-11,10,-1.48658e-10,-1.04,1,0.349066,0.349066
44,0.5,0.349066,0.349066,-1.24,1,9.92654,-7.63614e-12,9.92654,-7.58004e-11,-0.84,1,0.349066,0.349066
45,0.5,0.351519,0.349066,-1.04147,1,7.04413,0.00245336,7.04411,0.0172818,-0.64147,1.00098,0.349066,0.349066
46,0.5,0.46467,0.456108,-0.900587,1.00035,6,0.410259,5.50211,2.39308,-0.500602,1.00377,0.0544113,0.0544113
47,0.5,0.523599,0.627231,-0.790545,1.04821,6,0.523599,5.19615,3,-0.392691,1.00683,-4.99998e-09,-4.99998e-09
48,0.5,0.523599,0.776294,-0.686622,1.10821,6,0.523599,5.19615,3,-0.299325,1.0082,-4.99999e-09,-4.99999e-09
49,0.5,0.523599,0.940878,-0.582699,1.16821,6,0.523599,5.19615,3,-0.217021,1.0061,-4.99999e-09,-4.99999e-09
50,0.5,0.523599,1.12469,-0.478776,1.22821,6,0.523599,5.19615,3,-0.148888,1.00199,-4.99999e-09,-4.99999e-09
51,0.5,0.523599,1.32815,-0.374853,1.28821,6,0.523599,5.19615,3,-0.0974781,1,-4.99998e-09,-4.99998e-09
52,0.5,0.468472,1.49431,-0.27093,1.34821,6,0.458852,5.37937,2.65752,-0.0635773,1.00615,0.00961985,0.00961985
53,0.5,0.30507,1.56433,-0.163342,1.40136,6,0.227962,5.84477,1.35596,-0.0407341,1.02061,0.0771077,0.0771077
54,0.5,0.141005,1.64486,-0.0464467,1.42848,6,-0.0218374,5.99857,-0.131014,-0.0196908,1.02937,0.162842,0.162842
55,0.5,-0.022977,1.73378,0.0735247,1.42586,6,-0.281888,5.76319,-1.66902,-0.000432859,1.03275,0.258911,0.258911
56,0.5,-0.186028,1.82934,0.188789,1.39248,6,-0.523599,5.19615,-3,0.0167587,1.03136,0.337571,0.337571
57,0.5,-0.216725,2.06151,0.292712,1.33248,6,-0.523599,5.19615,-3,0.0327554,1.02846,0.306874,0.306874
58,0.5,-0.0976033,2.44346,0.396635,1.27248,6,-0.0976033,5.97144,-0.58469,0.0666197,1.04644,-9.99997e-09,-9.99997e-09
59,0.5,0.012029,2.44346,0.516063,1.26078,10,0.012029,9.99928,0.120287,0.212761,1,-9.99997e-09,-9.99997e-09
60,0.5,0.0199882,2.44346,0.716049,1.26319,10,0.0199882,9.998,0.199869,0.414831,1,-9.99995e-09,-9.99995e-09
61,0.5,0.0333371,2.44346,0.916009,1.26719,10,0.0333371,9.99444,0.33331,0.618331,1,-9.99991e-09,-9.99991e-09
62,0.5,0.0559628,2.44346,1.1159,1.27385,10,0.0559628,9.98435,0.559336,0.824341,1,-9.99985e-09,-9.99985e-09
63,0.5,0.0950594,2.44346,1.31558,1.28504,10,0.0950594,9.95485,0.949163,1.03495,1,-9.99975e-09,-9.99975e-09
64,0.5,0.165264,2.44346,1.51468,1.30402,10,0.165264,9.86375,1.64513,1.25474,1,-9.99955e-09,-9.99955e-09
65,0.5,0.303424,2.44346,1.71196,1.33692,10,0.303424,9.54319,2.98789,1.49636,1,-9.999e-09,-9.999e-09
66,0.5,0.477957,1.91986,1.90282,1.39668,10,0.128891,9.91705,1.28534,1.95423,1,0.349066,0.349066
67,0.5,0.351365,1.52808,2.10116,1.42239,10,0.0731981,9.97322,0.731327,2.25474,1.05305,0.278167,0.278167
68,0.5,0.283394,1.22369,2.30063,1.43702,10,0.0732094,9.97321,0.731441,2.53645,1.11392,0.210184,0.210184
69,0.5,0.254311,1.03264,2.50009,1.45164,10,0.0732221,9.9732,0.731567,2.78493,1.17081,0.181089,0.181089
70,0.5,0.242598,0.940416,2.69955,1.46628,10,0.0732363,9.97319,0.731708,3.00605,1.20926,0.169362,0.169362
71,0.5,0.237677,0.905569,2.89902,1.48091,10,0.0732522,9.97318,0.731867,3.21307,1.23318,0.164425,0.164425
72,0.5,0.235358,0.898003,3.09848,1.49555,10,0.07327,9.97317,0.732045,3.41383,1.24947,0.162088,0.162088
73,0.5,0.23405,0.902696,3.29795,1.51019,10,0.0732902,9.97315,0.732246,3.61181,1.26222,0.160759,0.160759
74,0.5,0.23315,0.912831,3.49741,1.52483,10,0.0733132,9.97314,0.732475,3.80852,1.27341,0.159836,0.159836
75,0.5,0.23243,0.925348,3.69687,1.53948,10,0.0733393,9.97312,0.732735,4.00463,1.28397,0.159091,0.159091
76,0.5,0.231803,0.938852,3.89633,1.55414,10,0.0733692,9.9731,0.733033,4.20045,1.2943,0.158434,0.158434
77,0.5,0.231235,0.952689,4.0958,1.5688,10,0.0734035,9.97307,0.733376,4.39613,1.30461,0.157832,0.157832
78,0.5,0.230713,0.966541,4.29526,1.58347,10,0.0734433,9.97304,0.733773,4.59177,1.31498,0.157269,0.157269
79,0.5,0.230229,0.980247,4.49472,1.59814,10,0.0734895,9.97301,0.734234,4.78739,1.32548,0.15674,0.15674
80,0.5,0.229783,0.993719,4.69418,1.61283,10,0.0735436,9.97297,0.734773,4.98303,1.33612,0.15624,0.15624
81,0.5,0.229373,1.0069,4.89364,1.62752,10,0.0736074,9.97292,0.735409,5.1787,1.34691,0.155766,0.155766
82,0.5,0.229,1.01977,5.0931,1.64223,10,0.0736831,9.97287,0.736164,5.37441,1.35787,0.155317,0.155317
83,0.5,0.228664,1.0323,5.29255,1.65695,10,0.0737737,9.9728,0.737068,5.57019,1.369,0.15489,0.15489
84,0.5,0.228367,1.04448,5.49201,1.67169,10,0.0738832,9.97272,0.73816,5.76603,1.3803,0.154484,0.154484
85,0.5,0.228115,1.0563,5.69146,1.68646,10,0.074017,9.97262,0.739494,5.96195,1.39178,0.154098,0.154098
86,0.5,0.227911,1.06775,5.89092,1.70125,10,0.0741821,9.9725,0.741141,6.15795,1.40343,0.153729,0.153729
87,0.5,0.227764,1.07884,6.09037,1.71607,10,0.0743888,9.97234,0.743203,6.35404,1.41527,0.153375,0.153375
88,0.5,0.227687,1.08958,6.28981,1.73093,10,0.0746514,9.97215,0.745821,6.55021,1.4273,0.153036,0.153036
89,0.5,0.227699,1.1,6.48926,1.74585,10,0.0749909,9.9719,0.749206,6.74648,1.43953,0.152708,0.152708
90,0.5,0.227826,1.11012,6.68869,1.76083,10,0.0754387,9.97156,0.753672,6.94285,1.45195,0.152387,0.152387
91,0.5,0.228106,1.12003,6.88812,1.77591,10,0.0760442,9.9711,0.759709,7.13929,1.4646,0.152062,0.152062
92,0.5,0.228584,1.12981,7.08755,1.7911,10,0.0768875,9.97046,0.768117,7.33581,1.47747,0.151697,0.151697
93,0.5,0.229288,1.13965,7.28696,1.80646,10,0.0781065,9.96951,0.780271,7.53234,1.49057,0.151182,0.151182
94,0.5,0.230118,1.1498,7.48635,1.82207,10,0.0799557,9.96805,0.798705,7.72878,1.50391,0.150162,0.150162
95,0.5,0.230453,1.16066,7.68571,1.83804,10,0.0829496,9.96562,0.828545,7.92477,1.51735,0.147504,0.147504
96,0.5,0.227816,1.17283,7.88502,1.85461,10,0.0882762,9.96106,0.881616,8.11931,1.53041,0.13954,0.13954
97,0.5,0.213317,1.18702,8.08424,1.87225,10,0.099297,9.95074,0.991339,8.30914,1.54146,0.11402,0.11402
98,0.5,0.158152,1.20366,8.28326,1.89207,10,0.129777,9.91591,1.29413,8.48384,1.546,0.028375,0.028375
99,0.5,0.00970011,1.22082,8.48157,1.91796,10,0.0097001,9.99953,0.0969995,8.62236,1.54355,2.66093e-09,2.66093e-09
100,0.5,-0.164833,1.22837,8.68156,1.9199,6,-0.513899,5.22501,-2.94946,8.75223,1.52619,0.349066,0.349066
101,0.5,-1.31021e-08,1.21127,8.78606,1.86091,6,-0.349066,5.63816,-2.05212,8.9268,1.48648,0.349066,0.349066
102,0.5,0.174533,1.18613,8.89883,1.81986,6,-0.174533,5.90885,-1.04189,9.11103,1.48079,0.349066,0.349066
103,0.499971,0.349066,1.16672,9.017,1.79903,6,0.349066,5.63816,2.05212,9.29058,1.50721,-6.2454e-09,-6.2454e-09
104,0.5,0.523599,1.16094,9.12977,1.84007,6,0.523599,5.19615,3,9.45124,1.60204,-5.59418e-09,-5.59418e-09
105,0.5,0.523599,1.1664,9.23369,1.90007,6,0.523599,5.19615,3,9.55386,1.66029,-3.79316e-09,-3.79316e-09
106,0.5,0.523599,1.17793,9.33761,1.96007,6,0.523599,5.19615,3,9.655,1.71662,-3.96728e-09,-3.96728e-09
107,0.5,0.523599,1.19311,9.44154,2.02007,6,0.523599,5.19615,3,9.75519,1.77183,-4.1017e-09,-4.1017e-09
108,0.5,0.523599,1.21121,9.54546,2.08007,6,0.523599,5.19615,3,9.85457,1.82619,-4.20783e-09,-4.20783e-09
109,0.5,0.523599,1.23282,9.64938,2.14007,6,0.523599,5.19615,3,9.95293,1.87957,-4.74215e-09,-4.74215e-09
110,0.5,0.349066,1.25982,9.75331,2.20007,6,0.349066,5.63816,2.05212,9.99857,1.88408,-8.47134e-09,-8.47134e-09
111,0.5,0.174533,1.29012,9.86607,2.24111,6,0.174533,5.90885,1.04189,10.0419,1.88184,-7.25326e-09,-7.25326e-09
112,0.5,6.32589e-09,1.32093,9.98425,2.26195,6,-0.349066,5.63816,-2.05212,10.0832,1.87437,0.349066,0.349066
113,0.5,-0.174533,1.34835,10.097,2.22091,6,-0.523599,5.19615,-3,10.1162,1.82137,0.349066,0.349066
114,0.5,-0.259484,1.36701,10.2009,2.16091,6,-0.523599,5.19615,-3,10.1787,1.76153,0.264115,0.264115
115,0.5,-0.28631,1.37436,10.3049,2.10091,6,-0.523599,5.19615,-3,10.269,1.70252,0.237289,0.237289
116,0.5,-0.286314,1.36922,10.4088,2.04091,6,-0.523599,5.19615,-3,10.3749,1.64234,0.237285,0.237285
117,0.5,-0.259478,1.35012,10.5127,1.98091,6,-0.523599,5.19615,-3,10.4972,1.58121,0.264121,0.264121
118,0.5,-0.174533,1.31592,10.6166,1.92091,6,-0.523599,5.19615,-3,10.6487,1.5222,0.349066,0.349066
119,0.5,7.15824e-09,1.27014,10.7205,1.86091,6,-0.349066,5.63816,-2.05212,10.839,1.47885,0.349066,0.349066
120,0.5,0.174533,1.22623,10.8333,1.81986,6,0.174533,5.90885,1.04189,11.0317,1.47256,-6.56511e-09,-6.56511e-09
121,0.5,0.349066,1.19601,10.9515,1.8407,6,0.349066,5.63816,2.05212,11.2164,1.541,-7.2206e-09,-7.2206e-09
122,0.499974,0.523599,1.18086,11.0643,1.88174,6,0.523599,5.19615,3,11.3809,1.63736,-2.93687e-09,-2.93687e-09
123,0.5,0.523599,1.17758,11.1682,1.94174,6,0.523599,5.19615,3,11.4856,1.69841,1.32773e-09,1.32773e-09
124,0.499997,0.421261,1.17943,11.2721,2.00174,7.99959,0.218176,7.80996,1.73151,11.5625,1.72671,0.203085,0.203085
